content,type
"我一直在關注投資賺錢的訊息，某天LINE通訊軟體上有個暱稱「賴憲政」的邀我加入好友，這不是股市憲哥嗎？！馬上加好友，對方要我加一名助理「林雪莉」來協助提供投資資訊。
「林雪莉」將我拉入一個LINE群組「雪莉財經交流課堂」，沒多久又慫恿我到一個名為「恆泰」的投資網站(https://app.tuoeru.com)。誆稱這個投資網站保證獲利，穩賺不賠，滿心期待的我立刻在網站申請帳號。
註冊成功後，網站又提供一個聲稱是「恆泰VIP服務中心」的LINE帳號給我，方便日後的交易。此後，就開始要我以面交現金方式來購買股票與黃金，兩周內我分批交出了200萬元給登門收款的專員。
投資過程曾向網站申請出金，成功提領2次共90萬元匯入我銀行帳戶，而且每次面交，收款專員都會交付款項收據，單據上的公司大小章一應俱全，讓我信心大增！進而想加大投資力道，與家人討論後，將名下不動產其中一間房子拿去向當鋪抵押借款千萬元，再分批面交給收款專員。
每當我到銀行臨櫃領款，面對行員詢問領款目的，我總以房屋裝修為由搪塞。直到我覺得差不多可以獲利了結，再向網站申請出金，對方假意熱心幫我統計金額，卻說一套做一套，遲遲沒有款項匯給我，最後連LINE都被對方封鎖。
想到自己投入了1,400多萬的現金，可能拿不回來，我慌忙撥165專線向警方諮詢，結果，真的是遇到詐騙！腦袋瞬間一片空白，只好趕緊警局完成報案。",假投資詐騙
"我退休後遇到詐騙分子鼓吹投資卻糊塗一時，不但千萬積蓄飛了，連房產都抵押設定成別人的名字。
某天，一名失聯多年的股票圈友人突然來電閒話家常，他透露有一個投資管道很棒。我不置可否地繼續與他保持連繫，默默觀察一段時間，研判應該真的有賺頭，便聽從朋友邀約加入冒名「萬圳光投資公司」的客服LINE。
起初，我先拿200萬試水溫，冒名「萬圳光投資公司」很貼心地派專員到府收款，友人事後告訴我獲利績效不錯，一週後我便再投入200萬，同樣有專員到府服務。
友人與冒名「萬圳光投資公司」客服彼此一搭一唱，讓我信心大增，開始瘋狂加碼進場，到府收款的專員，每次清點完數百萬現金，都煞有其事地交付「存款收據」作為投資憑證。後來手頭現金沒了，我便將房子拿去民間借貸抵押，並將房子預告登記設定給借貸公司，心想「反正到時候獲利了結，還錢就可以改回來了。」直到前陣子，與兒子閒聊時提及投資一事，兒子得知我已經交出6千6百多萬現金給一間不見經傳的投資公司，甚至連房子都抵押借貸了，告誡我可能遭遇詐騙，要我趕緊向警方報案。
面對警方詢問案情，我這才回過神，雖然每次交款都覺得自己離財富自由又更近一步，但是萬圳光公司聲稱的獲利，至今我連半毛錢都沒拿到，外面還欠下一屁股債…。請警方幫忙抓到可惡的詐騙份子，我要他們把錢還來！",假投資詐騙
"我在 LINE群組「讓換票來這」 看到一則售票訊息，發文者暱稱是 「文森」，表示自己有演唱會門票要出售。我正好在找這場演唱會的票，於是立刻私訊對方，對方給了我一個 LINE ID，讓我加他的好友。
加了之後，對方的LINE暱稱是 「輝」，他告訴我：「這場演唱會的門票原價5,800元，不過因為現在比較搶手，要稍微加價。」經過討論，我和對方談妥以 13,000元 購買兩張票。
確認價格後，對方馬上提供了一個郵局帳戶並要求我直接匯款。我當時怕門票被別人搶走，於是毫不猶豫地用我永豐銀行的帳戶轉帳給對方，我是在 10月20日18:26 匯款13,000元，完成交易。
匯款後，我滿心期待地等待門票，對方也一直安撫我，說會在演唱會前寄出。我不疑有他，直到演唱會日期當天，我卻仍然沒有收到門票！
我開始聯繫對方要求退款，但對方一直找藉口拖延，甚至開始已讀不回。這時，我才驚覺 自己被騙了，趕緊報警處理。
回想起來，發現自己為了急於獲得演唱會票，居然不用蝦皮、7-11貨到付款等方式交易，把自己置於受騙的危險中，實在不明智!",網路購物詐騙
"我有一些港幣、美金等國外硬幣想賣，因此在臉書社團「泉舜古錢幣鈔交流論壇」貼了一篇售物文章，沒多久，一名臉書用戶「Dicky Pasay」私訊我，表示有意購買我的外幣。想說難得遇到懂貨的人，我就加他LINE進一步洽談。
Dicky Pasay先是建議順豐平台掛號寄件，希望貨到付款，我堅持先匯款再寄貨，對方因而再提議使用7-11賣貨便進行交易，強調透過第三方平台交易對雙方都有保障，這次的洽談過程很順利，Dicky Pasay傳來一個專屬(假冒)賣場連結。
我將商品資料登錄對方提供的假賣場網站後，因為有登入異常問題，Dicky Pasay又傳來一個聲稱是「7-11賣貨便客服」LINE帳號連結，表示問題可由客服協助完成交易流程。
當我完成商品登錄上架，對方爽快下單、答允隔日匯款。幾天後，我詢問Dicky Pasay匯款進度，怎知對方聲稱早已匯款，而且反咬我害他公司帳戶被無故凍結，若是釀生損失會透過司法究責，要我好好跟客服善後。
我壓根不曉得發生啥事，假客服告知我主因是「線上金流異常」，需要我配合他們的指示簽署託運條款，並委託配合的金融機構授權簽署，如此才能解除設定，最後強調認證無需收取費用。
既然客服都承諾不收費了，我透過網銀嘗試操作數字以及輸入對方指定的銀行帳戶、一卡通儲值等，前後共操作4次，仍然無法解決「線上金流異常」。苦惱無解的我，隨手查一下戶頭存款，赫然發現快見底了！又去看匯款紀錄，剛剛操作的步驟都是匯款支出，這根本就是一場騙局！",假買家騙賣家詐騙
"我電腦升級後，多出一張高階主機板，便在臉書「電腦硬體買賣社團」張貼販賣資訊，沒多久，一名「Omar Ali」私訊表達購買意願。我心想運氣不錯，馬上可以換現。 我們一開始先以Messenger洽談，後來對方提供LINE ID「yxx1293」並假冒「林延馨」，我沒多想就加了LINE好友。「林延馨」聲稱透過蝦皮平台來交易，對雙方都有保障，我也覺得OK。不過，當我將商品上架後，平台顯示商品需要審核。「林延馨」藉口急用主機板，希望盡快完成交易。 正當我還在想辦法時，「林延馨」聲稱有內部管道能繞過審核上架，然後提供我一個暱稱是蝦皮客服的Line ID「@369wxhdz」。 我一加入對方為好友，假冒客服馬上以專業開場白介紹「您好，這邊是蝦皮交易部門客服人員，為了保障雙方交易，我們需要您簽署蝦皮三大保證書…」。 對方佯稱簽署保證書需要銀行認證，我絲毫沒懷疑就根據指示加了另一個暱稱中國信託客服的新Line ID「@770oafki」，假銀行客服一上來就丟了一堆操作流程給我，要我打開網銀，按照操作流程去完成三份「簽約畫面」才能保障交易成功。我照做了，結果居然是連續轉了三次，一共199,238元！ 對方最後還說要補簽一份文件，要我用Line Pay再轉40,000元，此時的我才驚覺，怎麼保證交易還要一直轉錢？！想到自己被那些同一夥詐騙集團演出來的假客服、銀行人員騙得團團轉，我整個冷汗直流，趕緊跑去派出所報案。並且將自己遭遇的事情分享出來，希望不要再有人像我一樣，因為網路販賣商品而被誘騙錢財。 ",假買家騙賣家詐騙
"某日，我接到1則「Alice(珠寶設計)」發送的LINE訊息。她以「工程」名義接近我，跟我聊工作、分享經驗，並對我嘘寒問暖，拉近彼此距離。之後，話題逐漸轉向黃金及寶石投資。
有一天，她傳送1則連結，邀請我加入另1個LINE帳號「Alice潔」。又過了幾天，「Alice潔」指導我下載使用「OKX」APP購買USDT，以及以USDT在「BiKing黃金交易平台」（https://www.bitop-king.com/）交易黃金。從113年4月到114年2月，我與「棠棣幣所」「利豐幣所」「永堂幣所」「太陽（貨幣諮詢）」「Virtual Vault加密貨幣」「群濠科技交易幣所」等幣商面交數十萬元到千萬元不等金額來購買USDT。購買成功後，「OKX」會顯示數據，我再轉入「BiKing」網站的電子錢包地址，才能夠在「BiKing黃金交易平台」交易黃金。雖然「BiKing」顯示我獲利，但是，當我打算出金時，客服卻要求我繳納保證金、管制金和稅金等費用。「Alice潔」告訴我這是正常流程，我沒有懷疑便陸續付款。然而，當「BiKing」客服表示資金已轉入台灣的資金管道方，需要再繳納額外的違約金，我這才察覺異狀，卻為時已晚，無法聯繫「BiKing」客服，也無法登入網站。
這11個月來，我總共損失了1億6,746萬5000元。這些資金主要來自我的存款、定存、保險解約等，我甚至還質押不動產，跟朋友和金融機構借貸。不只自己損失慘重，更害慘了信任我的朋友們。我希望以自身經驗，提醒他人謹慎投資，不要接觸自己不瞭解的領域，對於隨意親近的陌生人戒慎恐懼，避免落入類似的網路詐騙陷阱。",假交友(投資詐財)詐騙
"上月底，忽然看到一則廣告引起我的注意，廣告上寫道「出租金融帳戶，輕鬆賺租金，每天多進帳！」簡直是天上掉下來的好事，也不需要什麼付出就能多賺一筆。我心動了，馬上點擊連結聯繫了對方。
對方非常熱心，詳細解釋了租用帳戶的流程，並承諾每天會支付高額租金。他說這種帳戶出租方式很普遍，很多人都這樣賺外快。對方專業話術化解了我內心疑慮，他要求除了金融帳戶及提款卡之外，還要提供網路銀行的帳號、密碼。我有些猶豫，但他保證只是為了方便管理租金，不會影響到我的帳戶安全。
在他的催促下，我按照指示，將提款卡和帳戶資訊放置在台中市西屯區某處變電箱中間，還錄製了一段影片確認位置並傳給他。我告訴自己，只要收到第一筆租金，這一切就值得了。
沒過多久，我親戚想轉帳給我卻發現無法操作，詢問我是否更換了帳戶？我去電銀行，這才被知道由於帳戶出現異常的大量金流交易，已被停用。銀行人員的話讓我瞬間慌了，我的帳戶可能被用來進行非法交易。
我試圖聯繫那位「租戶」，但他的聯絡方式已經無法使用，我不僅沒賺到一分錢，還落得要面臨法律追訴的風險，實在得不償失。",騙取金融帳戶(卡片)詐騙
"那天，我在IG上隨意滑動，看到一則吸引人的活動廣告：「參加免費抽獎，贏取豪華大獎！」心想反正只是填個資料，不會有損失，就點進去參加了。不久後，我的手機跳出一個通知，說我抽中了最新款的手機，讓我開心得不得了！但這只是個開始。
幾天後，我又接到活動方的「客服」來訊，告訴我不僅中了手機，還額外抽中了一台嬰兒推車和99,999元現金獎金！還給我附上「得獎公告」的截圖。看著圖片，我不禁心想，這回真的走了大運。
不過，他們說由於「交易失敗」，獎金無法正常匯入，需要再支付手續費才能完成金額發放。雖然有些疑惑，但客服一再保證支付的金額會與獎金一起退回來。我心裡想，反正最終錢會回來，就先轉了第一筆款項。
然而他們仍宣稱系統依舊顯示「錯誤」，需要我再次轉帳以解鎖獎金。我開始有些懷疑，但客服耐心解釋「因為是高額獎金，所以程序比較繁瑣」，並強調這是大公司規定。我懷著一絲僥倖心理，又轉了好幾筆款項。
隨著匯款次數增加，我的存款迅速縮水。我多次催促客服返還款項或確認獎金狀況，但他們的回覆卻越來越敷衍，甚至不讀不回，最後澈底失聯了。這時，我才如夢初醒，意識到自己掉進了詐騙的圈套。
最後，我統計了一下損失將近390萬元！存款都沒了。報警時，警察告訴我，這是一種常見的假抽獎詐騙，我心中的悔恨和懊惱難以言喻。",假中獎通知詐騙
"我的母親前陣子在網路上認識了一個網友「王偉」的男子，對方每天噓寒問暖的關懷語句，逐漸融化老母親喪偶守寡多年、塵封已久的內心世界，母親甚至對這段感情的未來性有相當期待。
「王偉」自稱旅居國外，因工作原因暫時不能回台灣，隨即提到自己生病住院，國外沒有健保補助，醫療費用龐大得難以負擔。以可憐的語氣向我母親求援。早已芳心暗許的母親希望能幫助這位心靈伴侶度過難關，沒有多想就答應對方借款請求。
因為我母親不懂國際轉帳程序，「王偉」體貼地介紹另名「張善媚」幫助處理資金轉帳等事宜。被愛情沖昏頭的母親，完全沒有懷疑，陸續將600多萬積蓄分多次面交給「張善梅」。
原本我對整起事件毫不知情，某日母親因病住院，我幫母親整理手機內儲存的資料時，無意間發現她和「王偉」、「張善媚」的對話內容，這才驚覺母親竟然已經陷入網戀詐騙陷阱一段時間，養老金幾乎被搬空。
看著「張善媚」依然傳來訊息，還要索取更多所謂的醫療費，我決定將計就計，以母親的名義回覆將會繼續支付款項，隨即報警與警方合作，在約定交款時間地點將對方逮捕。
這次的經歷讓我對母親心生愧疚，成年離家後，只忙於自己的生活，卻忽略了長輩寡居的孤獨情感需求，才讓這些不法之徒有機可乘。",假交友(徵婚詐財)詐騙
"我熱愛跳舞，平時習慣在社群平台分享自己的表演影片。某天，一名網友「寧靜致遠」在臉書上私訊我，表明很欣賞我的舞蹈風格，希望邀請我去一場私人聚會表演，彼此聊了幾句，他提議加LINE方便溝通。
「寧靜致遠」很有誠意，一直說要先支付訂金給我，表示這樣才能確保我出席表演。我心想，這人還挺上道的，不像我遇過一些邀約單位，演出後請領費用時，藉口東托西欠的，甚至還發生作白工的情形。因此，我沒多想就直接把銀行帳戶提供給「寧靜致遠」。
當我提供我的帳戶資料後，「寧靜致遠」就沒了消息。我原以為是對方反悔才沒繼續洽談，孰料，隔了一個月，帳戶有款項匯入，我心想應該就是表演訂金吧，便開始構思舞蹈和曲目要如何搭配等事項。
然而，奇怪的是，又再相隔一個月，戶頭又被匯入一筆錢，我搞不懂這名素未謀面的網友到底在玩什麼把戲？
直到我某天去銀行辦事，櫃台行員突然告訴我，帳戶已經被列警示帳戶，無法正常使用，我整個人愣住，腦袋一片空白，行員也無法告訴我究竟發生什麼事，建議我趕緊去向警方報案。
我急忙趕到派出所，說明事情的經過，警方一查，才發現我連續兩個月收到的款項來源，都可能涉及其他詐騙案件。換句話說，我的帳戶被用來「洗錢」，成了詐騙集團轉移資金的工具。",假求職詐騙
